Name;Seconds;AlbumId
Burn;454;43
Stormbringer;277;43
Gypsy;339;43
Lady Double Dealer;234;43
Mistreated;759;43
Smoke On The Water;618;43
You Fool No One;804;43
Custard Pie;254;44
The Rover;337;44
In My Time Of Dying;666;44
Houses Of The Holy;242;44
Trampled Under Foot;337;44
Kashmir;509;44
Imperatriz;339;45
Beija-Flor;327;45
Viradouro;344;45
Mocidade;262;45
Unidos Da Tijuca;339;45
Salgueiro;306;45
Mangueira;298;45
União Da Ilha;331;45
Grande Rio;307;45
Portela;320;45
Caprichosos;351;45
Tradição;269;45
Império Serrano;335;45
Tuiuti;260;45
(Da Le) Yaleo;353;46
Love Of My Life;348;46
Put Your Lights On;285;46
Africa Bamba;283;46
Smooth;298;46
Do You Like The Way;355;46
Maria Maria;263;46
Migra;329;46
Corazon Espinado;276;46
Wishing It Was;293;46
El Farol;291;46
Primavera;379;46
The Calling;748;46
Solução;247;47
Manuel;230;47
Entre E Ouça;286;47
Um Contrato Com Deus;203;47
Um Jantar Pra Dois;244;47
Vamos Dançar;226;47
Um Love;182;47
Seis Da Tarde;238;47
Baixo Rio;198;47
Sombras Do Meu Destino;281;47
Do You Have Other Loves?;295;47
Agora Que O Dia Acordou;323;47
Já!!!;218;47
A Rua;238;47
Now's The Time;197;48
Jeru;193;48
Compulsion;345;48
Tempus Fugit;232;48
Walkin';807;48
'Round Midnight;357;48
Bye Bye Blackbird;476;48
New Rhumba;278;48
Generique;169;48
Summertime;200;48
So What;564;48
The Pan Piper;234;48
Someday My Prince Will Come;544;48
My Funny Valentine (Live);908;49
E.S.P.;331;49
Nefertiti;473;49
Petits Machins (Little Stuff);487;49
Miles Runs The Voodoo Down;844;49
Little Church (Live);196;49
Black Satin;317;49
Jean Pierre (Live);243;49
Time After Time;221;49
Portia;379;49
Space Truckin';1196;50
Going Down / Highway Star;914;50
Mistreated (Alternate Version);855;50
You Fool No One (Alternate Version);764;50
Jeepers Creepers;186;51
Blue Rythm Fantasy;348;51
Drum Boogie;192;51
Let Me Off Uptown;188;51
Leave Us Leap;183;51
Opus No.1;180;51
Boogie Blues;204;51
How High The Moon;201;51
Disc Jockey Jump;193;51
Up An' Atom;180;51
Bop Boogie;190;51
Lemon Drop;194;51
Coronation Drop;176;51
Overtime;163;51
Imagination;289;51
Don't Take Your Love From Me;282;51
Midget;217;51
I'm Coming Virginia;280;51
Payin' Them Dues Blues;199;51
Jungle Drums;200;51
Showcase;202;51
Swedish Schnapps;191;51
